Number words female,Total words,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Number words male,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
1512,6394,2251.0,343,2,1995,5,2631,142.0,51.5,42.333333333333336,46.0,65.0,Female
1524,8780,2020.0,1219,9,2001,4,5236,37.0,39.125,29.333333333333332,58.0,34.0,Male
155,4176,942.0,787,7,1968,1,3079,376.0,42.5,37.0,46.0,37.0,Male
1073,9855,3440.0,2623,12,2002,2,5342,19.0,35.22222222222222,21.5,33.0,23.0,Male
1317,7688,3835.0,3149,8,1988,4,2536,40.0,45.25,45.0,36.0,39.0,Male
1492,5872,1491.0,994,11,1997,4,2889,327.0,45.90909090909091,36.5,55.0,41.0,Male
1500,5322,1191.0,287,6,1980,3,2631,269.0,47.0,24.5,61.0,25.0,Male
349,6098,2692.0,2472,9,1988,2,3057,53.0,43.0,31.0,48.0,31.0,Male
857,8851,4042.0,3476,13,2001,2,3952,89.0,47.416666666666664,28.5,33.0,27.0,Male
2619,9626,1604.0,869,9,1973,6,5403,565.0,26.5,22.0,20.0,26.0,Male
759,12705,4922.0,4163,12,2002,1,7024,48.0,50.55555555555556,39.0,54.0,39.0,Male
4001,12995,7661.0,3942,5,1977,3,1333,152.0,41.6,39.333333333333336,42.0,31.0,Male
1141,9925,3484.0,2920,6,1997,3,5300,1.0,50.6,36.5,62.0,32.0,Male
1544,5323,2298.0,1306,5,1997,4,1481,102.0,41.8,39.5,34.0,32.0,Male
0,2081,940.0,508,4,1999,1,1141,351.0,48.0,29.0,29.0,57.0,Female
2417,11729,4998.0,4273,8,1990,6,4314,107.0,42.0,57.2,39.0,85.0,Male
832,4498,719.0,200,11,1984,3,2947,99.0,38.857142857142854,36.666666666666664,30.0,23.0,Male
3133,11252,3955.0,1965,7,1995,5,4164,131.0,32.285714285714285,34.0,30.0,29.0,Male
846,3918,2616.0,1770,4,1992,1,456,4.0,55.0,28.0,53.0,28.0,Male
1729,11361,4179.0,2930,9,2000,3,5453,3.0,36.714285714285715,39.333333333333336,40.0,29.0,Male
2680,7344,2372.0,521,6,1992,2,2292,247.0,41.5,31.5,48.0,34.0,Male
1188,7018,3113.0,2036,5,1992,2,2717,341.0,52.0,31.0,48.0,34.0,Male
0,2856,1136.0,343,4,1989,1,1720,550.0,53.0,36.0,36.0,38.0,Female
1605,10592,6394.0,5475,7,2000,2,2593,64.0,29.571428571428573,32.0,26.0,40.0,Male
519,3142,1203.0,896,4,1996,2,1420,124.0,50.666666666666664,34.0,34.0,34.0,Male
2492,12199,3545.0,2439,16,1994,5,6162,3.0,43.166666666666664,43.0,43.0,40.0,Male
2173,8715,4441.0,3401,5,2003,4,2101,95.0,49.2,39.666666666666664,32.0,37.0,Male
