Gross,Lead male,Lead female,Age Lead,Difference in words lead and co-lead,Year,Number words female,Number of male actors,Age women,Number of female actors,Title,Total words,Number words male,Age Co-Lead,Age men,Lead,Number of words lead,Mean Age Male,Mean Age Female
142.0,Robert Kincaid,Francesca Johns,46.0,343,1995,1512,2,"[35.0, 46.0, 46.0]",5,The Bridges of Madison County,6394,2631,65.0,"[38.0, 65.0]",Female,2251.0,51.5,42.333333333333336
37.0,Detective Eddie,Nicolette Karas,58.0,1219,2001,1524,9,"[28.0, 34.0, 26.0]",4,15 Minutes,8780,5236,34.0,"[58.0, 53.0, 25.0, 39.0, 33.0, 34.0, 46.0, 25.0]",Male,2020.0,39.125,29.333333333333332
376.0,Dr. Heywood R. ,Elena,46.0,787,1968,155,7,[37.0],1,2001: A Space Odyssey,4176,3079,37.0,"[47.0, 32.0, 31.0, 46.0, 59.0, 40.0]",Male,942.0,42.5,37.0
19.0,Monty Brogan,Naturelle Rivie,33.0,2623,2002,1073,12,"[20.0, 23.0]",2,25th Hour,9855,5342,23.0,"[32.0, 35.0, 35.0, 39.0, 26.0, 33.0, 41.0, 32.0, 44.0]",Male,3440.0,35.22222222222222,21.5
40.0,Nico Toscani,Delores 'Jacks',36.0,3149,1988,1317,8,"[39.0, 66.0, 30.0]",4,Above the Law,7688,2536,39.0,"[60.0, 46.0, 36.0, 39.0]",Male,3835.0,45.25,45.0
327.0,President James,Grace Marshall,55.0,994,1997,1492,11,"[13.0, 41.0, 42.0, 50.0]",4,Air Force One,5872,2889,41.0,"[42.0, 48.0, 61.0, 38.0, 50.0, 39.0, 47.0, 49.0, 55.0, 42.0, 34.0]",Male,1491.0,45.90909090909091,36.5
269.0,Kramer,Elaine,61.0,287,1980,1500,6,"[25.0, 24.0]",3,Airplane!,5322,2631,25.0,"[54.0, 54.0, 61.0, 33.0, 33.0]",Male,1191.0,47.0,24.5
53.0,Det. Sgt. Matth,Cassandra,48.0,2472,1988,349,9,[31.0],2,Alien Nation,6098,3057,31.0,"[39.0, 36.0, 48.0, 44.0, 50.0, 41.0]",Male,2692.0,43.0,31.0
89.0,Muhammad Ali,Belinda Ali,33.0,3476,2001,857,13,"[27.0, 30.0]",2,Ali,8851,3952,27.0,"[55.0, 51.0, 54.0, 44.0, 34.0, 64.0, 36.0, 63.0, 47.0, 44.0, 44.0, 33.0]",Male,4042.0,47.416666666666664,28.5
565.0,Terry,Debbie,20.0,869,1973,2619,9,"[22.0, 14.0, 26.0, 26.0]",6,American Graffiti,9626,5403,26.0,"[18.0, 26.0, 35.0, 35.0, 28.0, 31.0, 19.0, 20.0]",Male,1604.0,26.5,22.0
